EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473773400,107.47,107.578,107.47,107.51,627118
1,108.39,108.46,107.24,107.47,6862309
2,108.23,108.79,108.22,108.4,4880680
3,108.16,108.51,108.11,108.2537,2916886
4,107.885,108.18,107.69,108.16,2739821
5,108.34,108.4,107.76,107.89,1798756
6,108.1833,108.44,108.06,108.34,1448600
7,108.36,108.37,107.95,108.21,1042022
8,108.29,108.55,108.27,108.37,1583074
9,108.27,108.5,108.18,108.3,1207672
10,108.19,108.33,108.06,108.26,1139261
11,108.15,108.24,108.02,108.19,1265267
12,108.07,108.27,108.045,108.16,994002
13,108.13,108.21,108.04,108.071,952138
14,108.151,108.25,108.1,108.14,717024
15,108.08,108.22,108.035,108.1535,758213
16,108.11,108.24,108.0421,108.09,722098
17,108.31,108.4,108.09,108.11,772074
18,108.17,108.36,108.11,108.31,634191
19,108.4,108.4,108.13,108.17,709408
20,108.27,108.4,108.21,108.395,560458
21,108.19,108.28,108.095,108.27,597143
22,107.98,108.2,107.86,108.185,845505
23,108.355,108.37,107.9,107.9897,754366
24,108.4007,108.45,108.22,108.36,680433
25,108.29,108.48,108.165,108.4,799988
26,108.29,108.3701,108.18,108.29,598949
27,108.01,108.34,108,108.3,663204
28,108.11,108.17,107.955,108.01,600981
29,107.88,108.1359,107.8189,108.1032,770784
30,107.85,108.09,107.85,107.88,850106
31,108.0301,108.09,107.83,107.855,965403
32,108.0699,108.2,107.92,108.0301,997463
33,107.85,108.17,107.84,108.06,874376
34,107.93,108,107.74,107.85,861640
35,107.99,108.11,107.72,107.92,826927
36,108.1599,108.17,107.94,107.991,827637
37,108.24,108.29,108.11,108.16,1178473
38,108.16,108.28,107.96,108.245,1601379
39,108.04,108.32,107.95,108.16,5654520
144,108.6322,108.73,108.6,108.73,483875
145,110.31,110.37,108.6017,108.68,7841977
146,110.28,110.42,109.94,110.315,4331930
147,110.9559,110.97,110.16,110.28,4465970
148,110.885,110.96,110.65,110.95,3073846
149,111.31,111.57,110.885,110.89,4577168
150,111.15,111.5,111.05,111.31,2740731
151,111.125,111.41,111.12,111.14,1996108
152,111.38,111.4,111.05,111.125,2169197
153,111.195,111.39,111.1,111.38,1601437
154,111.685,111.79,111.175,111.2,2921314
155,112.14,112.21,111.61,111.69,4044195
156,112.24,112.41,112.11,112.14,2864592
157,112.0501,112.24,111.98,112.2399,2070638
158,112.09,112.14,111.96,112.06,1434302
159,112.6341,112.77,112.08,112.09,3126091
160,112.4,112.7,112.31,112.6399,1497465
161,112.71,112.71,112.3699,112.4,1624954
162,112.598,112.84,112.56,112.71,1800310
163,112.79,112.9,112.541,112.6,1567063
164,112.9656,113.03,112.58,112.79,2432655
165,112.5349,113.02,112.455,112.96,1724409
166,112.59,112.7,112.4,112.54,1138034
167,112.459,112.6,112.34,112.59,1129692
168,112.62,112.63,112.4,112.45,1119829
169,111.44,112.75,111.41,112.61,5518002
170,111.07,111.76,110.95,111.44,4082801
171,111.5727,111.7299,111.05,111.07,2392753
172,111.3364,111.95,111.31,111.5789,2751076
173,112.2,112.53,111.15,111.34,3603995
174,112.16,112.75,112.02,112.2,3774403
175,111.89,112.2,111.84,112.15,1663254
176,111.98,112.24,111.78,111.88,1465581
177,112.21,112.23,111.81,111.98,1366308
178,111.79,112.34,111.6,112.22,1996728
179,111.61,111.805,111.42,111.79,1628871
180,111.42,111.81,111.39,111.61,1506885
181,111.63,111.735,111.42,111.43,1206211
182,111.79,111.87,111.6,111.635,1550632
183,111.8308,111.97,111.54,111.785,5929797
288,113.76,113.87,113.49,113.86,800391
289,114.3799,114.73,113.56,113.65,9135346
290,114.31,114.51,113.9,114.37,4688064
291,114.93,114.95,114.25,114.31,5121809
292,114.7052,114.9399,114.58,114.93,3191590
293,114.9,115.09,114.67,114.705,4350263
294,115.177,115.25,114.76,114.9,3185795
295,115.461,115.5,114.94,115.1699,3246916
296,115.47,115.51,115.17,115.46,2576860
297,115.24,115.49,115.06,115.47,2124485
298,115.27,115.4,115.19,115.2301,2150040
299,115,115.28,114.95,115.26,1829791
300,115.01,115.03,114.84,114.995,1846336
301,115.125,115.2,115.001,115.001,1119648
302,114.8299,115.19,114.72,115.12,1452359
303,114.99,115.17,114.822,114.8256,1214784
304,115.35,115.38,114.9261,114.99,1319140
305,115.42,115.5,115.15,115.35,1441985
306,115.13,115.42,115.08,115.42,1248265
307,115.01,115.15,114.91,115.13,1301175
308,114.84,115.0399,114.79,115.005,1035885
309,115.06,115.1201,114.77,114.84,1124741
310,114.915,115.2311,114.89,115.06,1098516
311,114.92,115,114.685,114.92,1367532
312,114.86,114.965,114.8122,114.92,659945
313,114.82,115.15,114.81,114.8505,1124591
314,115,115.03,114.82,114.825,1016369
315,115.13,115.16,114.9,114.9999,1016027
316,115.07,115.22,115.03,115.1389,918497
317,115.196,115.23,115.05,115.065,659439
318,115.05,115.29,115.01,115.2,965617
319,115.065,115.135,115.01,115.05,603364
320,115.25,115.3,115.01,115.07,1005110
321,115.365,115.4,115.13,115.25,1483959
322,115.37,115.49,115.3,115.36,1601620
323,115.161,115.38,115.03,115.37,1427755
324,115.33,115.38,115.15,115.164,1123376
325,115.5,115.5,115.31,115.33,1651492
326,115.575,115.63,115.391,115.5,2515392
327,115.57,115.73,115.5,115.58,6566179
432,115.146,115.18,115.01,115.12,8579948
433,115.57,115.57,114.8,115.16,4060830
434,116,116.13,115.54,115.56,4972444
435,115.02,116.01,114.89,116,3716231
436,115.05,115.23,114.83,115.02,2386282
437,115.14,115.31,114.95,115.03,1742333
438,114.91,115.135,114.77,115.13,1507784
439,115.01,115.16,114.8,114.9,1446878
440,115.21,115.39,114.94,115.01,1640072
441,114.98,115.2801,114.98,115.2,1154141
442,114.8199,115.08,114.8,114.98,1011615
443,114.869,114.9801,114.81,114.81,884457
444,114.975,115.06,114.86,114.865,729501
445,114.96,115.05,114.91,114.98,794007
446,114.915,115.11,114.8601,114.96,882006
447,114.805,114.94,114.665,114.92,1255268
448,114.845,114.8825,114.72,114.81,620344
449,114.789,114.93,114.77,114.8459,522607
450,114.63,114.81,114.56,114.7899,864590
451,114.52,114.71,114.42,114.64,1132494
452,114.28,114.53,114.05,114.52,1759040
453,114.28,114.48,114.2721,114.2721,862326
454,114.42,114.51,114.28,114.2899,677902
455,114.4156,114.63,114.37,114.4238,859866
456,114.26,114.489,114.23,114.41,678977
457,114.18,114.323,114.11,114.26,821977
458,114.29,114.33,114.04,114.1775,1065453
459,114.32,114.395,114.19,114.29,685893
460,114.58,114.59,114.21,114.32,643374
461,114.65,114.72,114.51,114.58,932710
462,114.7889,114.82,114.61,114.6569,896620
463,114.91,114.97,114.77,114.78,1069193
464,114.9723,115.045,114.84,114.91,1060812
465,114.76,115,114.75,114.985,834585
466,114.85,114.98,114.75,114.752,713360
467,114.91,115.05,114.76,114.8507,1032362
468,114.9299,114.97,114.855,114.91,661709
469,115.065,115.12,114.885,114.92,1228295
470,115.08,115.11,114.92,115.07,1217271
471,114.92,115.08,114.89,115.075,11891659
864,115.2,115.27,115.19,115.19,479607
865,115.61,116.18,115.19,115.2,3979914
866,115.22,115.79,115.04,115.61,2550910
867,115.12,115.48,115.04,115.23,1519287
868,115.01,115.228,114.96,115.13,1612647
869,114.84,115.05,114.57,115.0041,1774821
870,114.6044,114.96,114.475,114.849,1459980
871,114.4333,114.69,114.3,114.6,1207206
872,114.3,114.54,114.19,114.43,1144634
873,114.025,114.345,113.85,114.3,1834041
874,114.2,114.249,113.92,114.025,1159074
875,114.225,114.39,114.19,114.2,985531
876,114.25,114.328,114.14,114.23,606364
877,114.29,114.43,114.2001,114.25,694013
878,114.271,114.4,114.25,114.3,444108
879,114.32,114.4,114.23,114.28,391458
880,114.22,114.37,114.14,114.32,451294
881,113.72,114.25,113.7089,114.22,1248524
882,113.61,113.72,113.3,113.715,2272452
883,113.7444,113.83,113.6,113.62,934756
884,113.756,113.84,113.66,113.7479,662414
885,113.47,113.8,113.44,113.7646,682151
886,113.78,113.78,113.38,113.46,542677
