EXCHANGE%3DNYSEMKT
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=1800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1479220200,3.04,3.04,3.04,3.04,110
1,3.05,3.0547,3.04,3.04,2500
2,3.05,3.05,3.05,3.05,1110
3,3.02,3.0546,3.01,3.05,1466
4,3.02,3.02,3.02,3.02,100
5,3.01,3.0246,3.01,3.02,2800
8,3.03,3.04,3.02,3.04,2100
9,3.04,3.05,3.04,3.05,1600
10,3.03,3.03,3.03,3.03,200
11,3.065,3.0959,3.03,3.06,7966
12,3.29,3.29,3.1,3.1,5100
13,3.25,3.28,3.2287,3.2287,5334
49,3.6337,3.67,3.5,3.65,19873
50,3.585,3.6199,3.55,3.6,11665
51,3.6,3.6,3.515,3.585,5100
52,3.58,3.63,3.58,3.6,3200
53,3.6,3.6,3.58,3.58,300
54,3.5908,3.6,3.5908,3.6,500
56,3.6389,3.6389,3.6358,3.6358,400
57,3.62,3.64,3.6,3.64,3300
58,3.6,3.6014,3.6,3.6,2200
59,3.6,3.6,3.6,3.6,600
60,3.6,3.605,3.6,3.6,800
61,3.6,3.64,3.6,3.6,8816
96,3.6,3.6,3.6,3.6,280
97,3.5764,3.5764,3.5764,3.5764,100
98,3.65,3.6501,3.6,3.6,8492
99,3.6001,3.689,3.6,3.65,1627
100,3.65,3.65,3.6,3.61,1800
101,3.497,3.6,3.49,3.6,7400
102,3.59,3.59,3.491,3.53,3600
103,3.5,3.6,3.5,3.535,1100
104,3.6,3.6,3.6,3.6,300
105,3.6,3.6,3.51,3.6,20197
106,3.56,3.63,3.56,3.6,24200
107,3.59,3.6146,3.59,3.59,800
108,3.6,3.6,3.58,3.59,10400
109,3.59,3.629,3.5801,3.6,22220
144,3.59,3.59,3.59,3.59,237
147,3.5,3.5,3.5,3.5,100
148,3.54,3.54,3.5,3.54,3588
149,3.53,3.57,3.5,3.54,1300
150,3.5691,3.58,3.5691,3.58,2000
151,3.58,3.58,3.58,3.58,100
152,3.59,3.59,3.58,3.58,700
153,3.59,3.59,3.59,3.59,200
154,3.5764,3.58,3.55,3.58,1200
155,3.55,3.5894,3.55,3.58,2200
156,3.68,3.68,3.58,3.58,7300
157,3.6,3.6,3.56,3.56,300
288,3.6,3.6,3.6,3.6,240
290,3.48,3.62,3.48,3.62,1000
291,3.53,3.53,3.52,3.52,300
293,3.67,3.67,3.6,3.6,8600
294,3.59,3.59,3.59,3.59,100
295,3.6,3.6,3.6,3.6,100
296,3.6101,3.611,3.6,3.6,6200
297,3.61,3.63,3.61,3.61,420
298,3.63,3.68,3.63,3.6779,400
299,3.62,3.62,3.62,3.62,100
300,3.68,3.68,3.679,3.679,1100
301,3.79,3.79,3.73,3.7663,3000
336,3.76,3.76,3.76,3.76,157
338,3.65,3.65,3.65,3.65,100
339,3.7046,3.7046,3.62,3.65,1800
340,3.688,3.688,3.688,3.688,1016
342,3.6,3.705,3.6,3.65,10900
343,3.64,3.64,3.6,3.6,300
344,3.68,3.68,3.6,3.6063,1366
345,3.61,3.61,3.61,3.61,200
346,3.62,3.65,3.62,3.65,1000
347,3.6265,3.6265,3.6265,3.6265,666
348,3.6866,3.69,3.62,3.62,800
349,3.7,3.75,3.64,3.7,2300
384,3.64,3.64,3.64,3.64,161
385,3.64,3.64,3.64,3.64,100
386,3.67,3.67,3.64,3.64,200
387,3.6858,3.6858,3.6355,3.6355,1394
388,3.66,3.66,3.66,3.66,300
389,3.64,3.66,3.64,3.66,200
390,3.64,3.7,3.64,3.66,1960
391,3.7,3.7,3.685,3.69,2100
392,3.7,3.7,3.69,3.69,2100
393,3.6996,3.6996,3.69,3.69,533
394,3.67,3.69,3.67,3.69,200
396,3.66,3.66,3.66,3.66,200
397,3.68,3.694,3.68,3.694,266
480,3.66,3.66,3.66,3.66,100
481,3.63,3.65,3.62,3.62,600
482,3.6092,3.6092,3.607,3.607,200
484,3.4963,3.4963,3.4963,3.4963,2000
485,3.55,3.55,3.55,3.55,100
486,3.585,3.6,3.585,3.6,200
487,3.6,3.61,3.6,3.61,600
624,3.57,3.57,3.57,3.57,751
625,3.58,3.58,3.58,3.58,400
626,3.46,3.46,3.46,3.46,100
629,3.5,3.58,3.5,3.5053,2488
631,3.55,3.55,3.55,3.55,100
632,3.55,3.575,3.55,3.575,1280
633,3.6,3.6,3.55,3.57,3200
634,3.6136,3.6136,3.6136,3.6136,1052
635,3.585,3.585,3.55,3.55,300
636,3.55,3.6,3.55,3.6,200
637,3.6,3.61,3.551,3.551,2400
674,3.52,3.6,3.52,3.6,2800
676,3.48,3.48,3.48,3.48,100
677,3.58,3.58,3.57,3.57,1000
681,3.58,3.5807,3.58,3.58,1655
684,3.59,3.59,3.59,3.59,100
685,3.58,3.6,3.58,3.6,300
